NAME,GEOID,minx,miny,maxx,maxy
Colona,1715664,-90.39295,41.440966,-90.319456,41.491032
Colp,1715807,-89.082419,37.803632,-89.071738,37.811254
Columbia,1715833,-90.270646,38.420147,-90.168022,38.48761
Columbus,1715846,-91.150921,39.985014,-91.140514,39.991252
Como,1715950,-89.783451,41.756551,-89.745428,41.772322
Compton,1715989,-89.110696,41.692226,-89.072008,41.696159
Concord,1716054,-90.378747,39.806929,-90.359238,39.828272
Congerville,1716119,-89.222353,40.608373,-89.192093,40.624621
Cooksville,1716210,-88.721632,40.537511,-88.707317,40.546468
Coral,1716301,-88.567822,42.215787,-88.563908,42.219933
Cordova,1716366,-90.330975,41.664526,-90.310334,41.692164
Cornell,1716405,-88.740179,40.985842,-88.71963,40.99719
Cornland,1716431,-89.405388,39.934681,-89.394793,39.940049
Cortland,1716470,-88.707163,41.901222,-88.63531,41.949564
Coulterville,1716613,-89.612954,38.176217,-89.59664,38.190619
Country Club Hills,1716691,-87.752395,41.535105,-87.701764,41.586451
Countryside,1716873,-87.896783,41.753605,-87.858572,41.798402
Cowden,1717055,-88.866638,39.243678,-88.85221,39.255908
Coyne Center,1717077,-90.577961,41.391725,-90.548864,41.410353
Crab Orchard,1717094,-88.818196,37.716949,-88.788957,37.732721
Crainville,1717185,-89.072787,37.740152,-89.040052,37.764382
Creal Springs,1717289,-88.846477,37.611997,-88.827772,37.628222
Crescent City,1717406,-87.864042,40.766171,-87.849509,40.778097
Crest Hill,1717458,-88.148397,41.540349,-88.076323,41.59623
Creston,1717471,-88.990678,41.920447,-88.951324,41.945937
Crestwood,1717497,-87.763007,41.631285,-87.707205,41.662106
Crete,1717523,-87.670673,41.391436,-87.569444,41.470046
Creve Coeur,1717549,-89.637067,40.622138,-89.574355,40.660762
Crossville,1717783,-88.075022,38.154422,-88.050181,38.17051
Crystal Lake,1717887,-88.423301,42.190063,-88.27181,42.276937
Crystal Lawns,1717939,-88.18097,41.565291,-88.144995,41.573778
Cuba,1717991,-90.203688,40.487136,-90.185124,40.498892
Cullom,1718030,-88.277363,40.874245,-88.261359,40.885288
Curran,1718147,-89.799701,39.730756,-89.761234,39.751494
Custer Park,1718212,-88.133382,41.238014,-88.124114,41.249179
Cutler,1718225,-89.574686,38.027692,-89.560611,38.040729
Cypress,1718251,-89.025453,37.357814,-89.011891,37.372978
Dahlgren,1718303,-88.694359,38.190629,-88.675365,38.205357
Dakota,1718342,-89.532731,42.383621,-89.520086,42.391534
Dallas City,1718420,-91.195139,40.62332,-91.145983,40.652723
Dalton City,1718446,-88.812277,39.708055,-88.799545,39.726022
Dalzell,1718459,-89.199471,41.341269,-89.163013,41.364202
Damiansville,1718472,-89.635127,38.502714,-89.593114,38.518873
Dana,1718485,-88.955374,40.953052,-88.945511,40.960406
Danforth,1718498,-87.98572,40.810825,-87.969611,40.828612
Danvers,1718537,-89.187126,40.523042,-89.163095,40.537809
Danville,1718563,-87.665219,40.103392,-87.531696,40.20449
Darien,1718628,-88.030557,41.700255,-87.944915,41.76862
Darmstadt,1718641,-89.73172,38.317322,-89.725861,38.320709
Davis,1718706,-89.428306,42.415853,-89.4084,42.426406
Davis Junction,1718719,-89.114772,42.085202,-89.071036,42.150812
Dawson,1718745,-89.472936,39.846372,-89.453953,39.860873
Dayton,1718771,-88.816576,41.376685,-88.778748,41.398002
De Land,1719200,-88.649977,40.115331,-88.631126,40.127141
De Pue,1719499,-89.325612,41.319099,-89.267383,41.342367
De Soto,1719616,-89.243442,37.810194,-89.210855,37.822655
De Witt,1719798,-88.787817,40.177755,-88.78288,40.191915
DeKalb,1719161,-88.797425,41.878323,-88.693654,41.97176
Decatur,1718823,-89.032574,39.786777,-88.803133,39.925
Deer Creek,1718940,-89.339355,40.622564,-89.322928,40.638505
Deer Grove,1719031,-89.694249,41.60429,-89.679746,41.613719
Deer Park,1719083,-88.128484,42.152111,-88.038571,42.184943
Deerfield,1718992,-87.884029,42.145642,-87.821065,42.189156
Delavan,1719226,-89.566537,40.363417,-89.523726,40.379576
Des Plaines,1719642,-87.950074,41.995342,-87.859967,42.079829
Detroit,1719681,-90.680716,39.616435,-90.671256,39.623832
Dewey,1719746,-88.291014,40.317173,-88.278128,40.321133
